Timestamp,Value
2019-02-01 05:30:00,1.3094
2019-02-04 05:30:00,1.3068
2019-02-05 05:30:00,1.2947
2019-02-06 05:30:00,1.2956
2019-02-07 05:30:00,1.2966
2019-02-08 05:30:00,1.2933
2019-02-11 05:30:00,1.2862
2019-02-12 05:30:00,1.2887
2019-02-13 05:30:00,1.2865
2019-02-14 05:30:00,1.2793
2019-02-15 05:30:00,1.2857
2019-02-18 05:30:00,None
2019-02-19 05:30:00,1.3036
2019-02-20 05:30:00,None
2019-02-21 05:30:00,1.306
2019-02-22 05:30:00,1.3067
2019-02-25 05:30:00,1.3059
2019-02-26 05:30:00,1.3252
2019-02-27 05:30:00,1.3318
2019-02-28 05:30:00,1.3274
2019-03-01 05:30:00,1.3222
2019-03-04 05:30:00,1.3186
2019-03-06 05:30:00,1.3148
2019-03-07 05:30:00,1.3107
2019-03-08 05:30:00,1.301
2019-03-11 05:30:00,1.3095
2019-03-12 05:30:00,1.3101
2019-03-13 05:30:00,1.323
2019-03-14 05:30:00,1.3281
2019-03-18 05:30:00,1.3223
2019-03-19 05:30:00,1.3263
2019-03-20 05:30:00,1.3191
2019-03-21 05:30:00,1.3073
2019-03-22 05:30:00,1.3219
2019-03-26 05:30:00,1.3215
2019-03-27 05:30:00,1.3192
2019-03-28 05:30:00,1.3088
2019-03-29 05:30:00,1.3032
2019-04-01 05:30:00,1.3144
2019-04-02 05:30:00,1.3035
2019-04-03 05:30:00,1.3181
2019-04-05 05:30:00,1.301
2019-04-08 05:30:00,1.3048
2019-04-09 05:30:00,1.3048
2019-04-10 05:30:00,1.31
2019-04-11 05:30:00,1.3068
2019-04-12 05:30:00,1.3086
2019-04-15 05:30:00,1.3105
2019-04-16 05:30:00,1.3049
2019-04-17 05:30:00,1.3036
2019-04-18 05:30:00,1.3003
2019-04-19 05:30:00,1.3003
2019-04-22 05:30:00,1.2983
2019-04-23 05:30:00,1.2943
2019-04-24 05:30:00,1.2947
2019-04-25 05:30:00,1.2901
2019-04-26 05:30:00,1.293
2019-04-29 05:30:00,1.2924
2019-04-30 05:30:00,1.303
2019-05-01 05:30:00,1.3091
2019-05-02 05:30:00,1.3032
2019-05-03 05:30:00,1.3139
2019-05-06 05:30:00,1.3093
2019-05-07 05:30:00,1.3052
2019-05-08 05:30:00,1.3014
2019-05-09 05:30:00,1.3013
2019-05-10 05:30:00,1.3036
2019-05-13 05:30:00,1.2961
2019-05-15 05:30:00,1.2878
2019-05-16 05:30:00,1.2803
2019-05-17 05:30:00,1.2723
2019-05-20 05:30:00,1.2718
2019-05-21 05:30:00,1.2747
2019-05-22 05:30:00,1.2674
2019-05-23 05:30:00,1.2666
2019-05-27 05:30:00,None
2019-05-28 05:30:00,1.2668
2019-05-29 05:30:00,1.2631
2019-05-30 05:30:00,1.2619
2019-05-31 05:30:00,1.262
2019-06-04 05:30:00,1.2675
2019-06-05 05:30:00,1.2706
2019-06-06 05:30:00,1.2713
2019-06-07 05:30:00,1.274
2019-06-10 05:30:00,1.2684
2019-06-11 05:30:00,1.2724
2019-06-12 05:30:00,1.2693
2019-06-14 05:30:00,1.2601
2019-06-17 05:30:00,1.2568
2019-06-18 05:30:00,1.2547
2019-06-19 05:30:00,1.2625
2019-06-20 05:30:00,1.27
2019-06-21 05:30:00,1.2703
2019-06-24 05:30:00,1.2728
2019-06-25 05:30:00,1.2721
2019-06-26 05:30:00,1.2697
2019-06-27 05:30:00,1.2674
2019-06-28 05:30:00,1.2704
2019-07-01 05:30:00,1.2644
2019-07-02 05:30:00,1.2599
2019-07-03 05:30:00,1.2568
2019-07-04 05:30:00,None
2019-07-05 05:30:00,1.2506
2019-07-08 05:30:00,1.2503
2019-07-09 05:30:00,1.2463
2019-07-10 05:30:00,1.2507
2019-07-11 05:30:00,1.2549
2019-07-12 05:30:00,1.2553
2019-07-15 05:30:00,1.2523
2019-07-16 05:30:00,1.2408
2019-07-17 05:30:00,1.2438
2019-07-18 05:30:00,1.2494
2019-07-19 05:30:00,1.25
2019-07-22 05:30:00,1.2475
2019-07-24 05:30:00,1.2498
2019-07-25 05:30:00,1.2471
2019-07-26 05:30:00,1.2387
2019-07-29 05:30:00,1.2236
2019-07-30 05:30:00,1.2148
2019-07-31 05:30:00,1.222
2019-08-01 05:30:00,1.2145
2019-08-05 05:30:00,1.2165
2019-08-06 05:30:00,1.2149
2019-08-07 05:30:00,1.2158
2019-08-08 05:30:00,1.2138
2019-08-09 05:30:00,1.2085
2019-08-13 05:30:00,1.2067
2019-08-14 05:30:00,1.2068
2019-08-15 05:30:00,1.2112
2019-08-16 05:30:00,1.2152
2019-08-19 05:30:00,1.2138
2019-08-20 05:30:00,1.2153
2019-08-21 05:30:00,1.2142
2019-08-23 05:30:00,1.2261
2019-08-26 05:30:00,1.2232
2019-08-27 05:30:00,1.2288
2019-08-28 05:30:00,1.2248
2019-08-29 05:30:00,1.2197
2019-08-30 05:30:00,1.2166
2019-09-02 05:30:00,None
2019-09-03 05:30:00,1.2086
2019-09-04 05:30:00,1.219
2019-09-05 05:30:00,1.2337
2019-09-06 05:30:00,1.2299
2019-09-09 05:30:00,1.2368
2019-09-10 05:30:00,1.2355
2019-09-11 05:30:00,1.2329
2019-09-12 05:30:00,1.2357
2019-09-13 05:30:00,1.2462
2019-09-16 05:30:00,1.2423
2019-09-17 05:30:00,1.2493
2019-09-18 05:30:00,1.2478
2019-09-19 05:30:00,1.2481
2019-09-20 05:30:00,1.2489
2019-09-23 05:30:00,1.2428
2019-09-24 05:30:00,1.2475
2019-09-25 05:30:00,1.2363
2019-09-26 05:30:00,1.2343
2019-09-27 05:30:00,1.2312
2019-09-30 05:30:00,1.2305
2019-10-02 05:30:00,1.2313
2019-10-03 05:30:00,1.239
2019-10-04 05:30:00,1.2309
2019-10-07 05:30:00,1.2322
2019-10-08 05:30:00,1.2206
2019-10-09 05:30:00,1.2215
2019-10-10 05:30:00,1.2382
2019-10-14 05:30:00,None
2019-10-15 05:30:00,1.2737
2019-10-16 05:30:00,1.2854
2019-10-17 05:30:00,1.2853
2019-10-18 05:30:00,1.2904
2019-10-22 05:30:00,1.2948
2019-10-23 05:30:00,1.2886
2019-10-24 05:30:00,1.281
2019-10-25 05:30:00,1.2833
2019-10-28 05:30:00,1.286
2019-10-29 05:30:00,1.2905
2019-10-30 05:30:00,1.2872
2019-11-01 05:30:00,1.295
2019-11-04 05:30:00,1.2906
2019-11-05 05:30:00,1.287
2019-11-06 05:30:00,1.2872
2019-11-07 05:30:00,1.2829
2019-11-08 05:30:00,1.279
2019-11-11 05:30:00,None
2019-11-12 05:30:00,1.2855
2019-11-13 05:30:00,1.284
2019-11-14 05:30:00,1.2879
2019-11-15 05:30:00,1.2901
2019-11-18 05:30:00,1.2965
2019-11-19 05:30:00,1.2926
2019-11-20 05:30:00,1.2918
2019-11-21 05:30:00,1.2915
2019-11-22 05:30:00,1.2829
2019-11-25 05:30:00,1.2885
2019-11-26 05:30:00,1.285
2019-11-27 05:30:00,1.2881
2019-11-28 05:30:00,None
2019-11-29 05:30:00,1.2939
2019-12-02 05:30:00,1.2936
2019-12-03 05:30:00,1.3002
2019-12-04 05:30:00,1.3095
2019-12-05 05:30:00,1.3165
2019-12-06 05:30:00,1.3127
2019-12-09 05:30:00,1.3157
2019-12-11 05:30:00,1.3176
2019-12-12 05:30:00,1.3133
2019-12-13 05:30:00,1.3349
2019-12-16 05:30:00,1.333
2019-12-17 05:30:00,1.3116
2019-12-18 05:30:00,1.3078
2019-12-19 05:30:00,1.3034
2019-12-23 05:30:00,1.2917
2019-12-24 05:30:00,1.2955
2019-12-25 05:30:00,None
2019-12-26 05:30:00,1.3007
2019-12-27 05:30:00,1.309
2019-12-31 05:30:00,1.3269
2020-01-01 05:30:00,None
2020-01-02 05:30:00,1.3128
2020-01-03 05:30:00,1.3091
2020-01-06 05:30:00,1.3163
2020-01-07 05:30:00,1.3127
2020-01-08 05:30:00,1.311
2020-01-10 05:30:00,1.306
2020-01-13 05:30:00,1.2983
2020-01-14 05:30:00,1.3018
2020-01-15 05:30:00,1.303
2020-01-16 05:30:00,1.3076
2020-01-17 05:30:00,1.3029
2020-01-20 05:30:00,None
2020-01-21 05:30:00,1.3047
2020-01-22 05:30:00,1.3136
2020-01-23 05:30:00,1.3104
2020-01-24 05:30:00,1.3071
2020-01-27 05:30:00,1.3054
2020-01-28 05:30:00,1.2996
2020-01-29 05:30:00,1.3012
2020-01-30 05:30:00,1.3106
2020-01-31 05:30:00,1.3195
2020-02-03 05:30:00,1.3006
2020-02-04 05:30:00,1.3029
2020-02-05 05:30:00,1.3
2020-02-06 05:30:00,1.2935
2020-02-07 05:30:00,1.2908
2020-02-10 05:30:00,1.2919
2020-02-11 05:30:00,1.2945
2020-02-12 05:30:00,1.2978
2020-02-13 05:30:00,1.3051
2020-02-14 05:30:00,1.3039
2020-02-17 05:30:00,None
2020-02-19 05:30:00,1.2934
2020-02-20 05:30:00,1.2877
2020-02-21 05:30:00,1.2966
2020-02-24 05:30:00,1.2923
2020-02-25 05:30:00,1.3004
2020-02-26 05:30:00,1.2921
2020-02-27 05:30:00,1.2876
2020-03-02 05:30:00,1.2791
2020-03-03 05:30:00,1.2827
2020-03-04 05:30:00,1.2836
2020-03-05 05:30:00,1.2939
2020-03-06 05:30:00,1.301
2020-03-10 05:30:00,1.2933
2020-03-11 05:30:00,1.2887
2020-03-12 05:30:00,1.2541
2020-03-13 05:30:00,1.2406
2020-03-16 05:30:00,1.2278
2020-03-17 05:30:00,1.2017
2020-03-18 05:30:00,1.176
2020-03-20 05:30:00,1.1743
2020-03-23 05:30:00,1.1492
2020-03-24 05:30:00,1.1784
2020-03-25 05:30:00,1.1763
2020-03-26 05:30:00,1.214
2020-03-27 05:30:00,1.236
2020-03-30 05:30:00,1.2392
2020-03-31 05:30:00,1.2454
2020-04-01 05:30:00,1.2394
2020-04-02 05:30:00,1.238
2020-04-03 05:30:00,1.2228
2020-04-06 05:30:00,1.2298
2020-04-07 05:30:00,1.2343
2020-04-08 05:30:00,1.2394
2020-04-09 05:30:00,1.2458
2020-04-10 05:30:00,1.2485
2020-04-13 05:30:00,1.2518
2020-04-14 05:30:00,1.2617
2020-04-15 05:30:00,1.2523
2020-04-16 05:30:00,1.2433
2020-04-17 05:30:00,1.2503
2020-04-20 05:30:00,1.2467
2020-04-21 05:30:00,1.2266
2020-04-22 05:30:00,1.2332
2020-04-23 05:30:00,1.2369
2020-04-24 05:30:00,1.2335
2020-04-27 05:30:00,1.2421
2020-04-29 05:30:00,1.2429
2020-04-30 05:30:00,1.2602
2020-05-01 05:30:00,1.2509
2020-05-04 05:30:00,1.243
2020-05-05 05:30:00,1.2449
2020-05-06 05:30:00,1.2347
2020-05-07 05:30:00,1.2349
2020-05-11 05:30:00,1.233
2020-05-12 05:30:00,1.2299
2020-05-13 05:30:00,1.2225
2020-05-14 05:30:00,1.2194
2020-05-15 05:30:00,1.2129
2020-05-19 05:30:00,1.2255
2020-05-20 05:30:00,1.2257
2020-05-21 05:30:00,1.2227
2020-05-22 05:30:00,1.2178
2020-05-25 05:30:00,None
2020-05-26 05:30:00,1.2337
2020-05-27 05:30:00,1.2231
2020-05-29 05:30:00,1.232
2020-06-01 05:30:00,1.2472
2020-06-02 05:30:00,1.2531
2020-06-03 05:30:00,1.26
2020-06-04 05:30:00,1.2608
2020-06-05 05:30:00,1.2703
2020-06-08 05:30:00,1.2694
2020-06-09 05:30:00,1.2736
2020-06-10 05:30:00,1.2758
2020-06-11 05:30:00,1.2635
2020-06-12 05:30:00,1.2527
2020-06-15 05:30:00,1.2543
2020-06-16 05:30:00,1.2586
2020-06-17 05:30:00,1.2526
2020-06-18 05:30:00,1.243
2020-06-19 05:30:00,1.2362
2020-06-22 05:30:00,1.2447
2020-06-23 05:30:00,1.2531
2020-06-24 05:30:00,1.2432
2020-06-25 05:30:00,1.2406
2020-06-26 05:30:00,1.2337
2020-06-29 05:30:00,1.2279
2020-06-30 05:30:00,1.2369
2020-07-01 05:30:00,1.2474
2020-07-02 05:30:00,1.2469
2020-07-03 05:30:00,None
2020-07-06 05:30:00,1.2482
2020-07-08 05:30:00,1.2593
2020-07-09 05:30:00,1.2614
2020-07-10 05:30:00,1.2654
2020-07-13 05:30:00,1.2614
2020-07-14 05:30:00,1.2546
2020-07-15 05:30:00,1.2586
2020-07-16 05:30:00,1.2621
2020-07-20 05:30:00,1.2658
2020-07-21 05:30:00,1.2736
2020-07-22 05:30:00,1.2729
2020-07-23 05:30:00,1.2759
2020-07-24 05:30:00,1.2791
2020-07-28 05:30:00,1.295
2020-07-29 05:30:00,1.2974
2020-07-30 05:30:00,1.3035
2020-07-31 05:30:00,1.3133
2020-08-03 05:30:00,1.3053
2020-08-04 05:30:00,1.3059
2020-08-05 05:30:00,1.3141
2020-08-07 05:30:00,1.3043
2020-08-10 05:30:00,1.3082
2020-08-11 05:30:00,1.3077
2020-08-12 05:30:00,1.3047
2020-08-13 05:30:00,1.3082
2020-08-14 05:30:00,1.3108
2020-08-17 05:30:00,1.3105
2020-08-18 05:30:00,1.3228
2020-08-19 05:30:00,1.3191
2020-08-20 05:30:00,1.319
2020-08-21 05:30:00,1.3098
2020-08-24 05:30:00,1.3078
2020-08-25 05:30:00,1.3136
2020-08-26 05:30:00,1.3186
2020-08-27 05:30:00,1.3229
2020-08-28 05:30:00,1.3341
2020-08-31 05:30:00,1.3375
2020-09-01 05:30:00,1.3416
2020-09-02 05:30:00,1.3315
2020-09-03 05:30:00,1.3263
2020-09-04 05:30:00,1.323
2020-09-07 05:30:00,None
2020-09-08 05:30:00,1.3039
2020-09-09 05:30:00,1.3011
2020-09-10 05:30:00,1.2846
2020-09-11 05:30:00,1.2788
2020-09-14 05:30:00,1.2876
2020-09-16 05:30:00,1.298
2020-09-17 05:30:00,1.2955
2020-09-18 05:30:00,1.295
2020-09-21 05:30:00,1.2794
2020-09-22 05:30:00,1.2726
2020-09-23 05:30:00,1.275
2020-09-24 05:30:00,1.2739
2020-09-28 05:30:00,1.2865
2020-09-29 05:30:00,1.2847
2020-09-30 05:30:00,1.2921
2020-10-01 05:30:00,1.2901
2020-10-02 05:30:00,1.2928
2020-10-06 05:30:00,1.2945
2020-10-07 05:30:00,1.2914
2020-10-08 05:30:00,1.2944
2020-10-09 05:30:00,1.3003
2020-10-12 05:30:00,None
2020-10-13 05:30:00,1.2968
2020-10-14 05:30:00,1.3023
2020-10-16 05:30:00,1.2931
2020-10-19 05:30:00,1.2998
2020-10-20 05:30:00,1.2951
2020-10-21 05:30:00,1.3143
2020-10-22 05:30:00,1.309
2020-10-23 05:30:00,1.3039
2020-10-26 05:30:00,1.3021
2020-10-27 05:30:00,1.3067
2020-10-28 05:30:00,1.2997
2020-10-29 05:30:00,1.289
2020-10-30 05:30:00,1.2933
2020-11-02 05:30:00,1.2904
2020-11-03 05:30:00,1.305
2020-11-04 05:30:00,1.3021
2020-11-05 05:30:00,1.3116
2020-11-06 05:30:00,1.3162
2020-11-09 05:30:00,1.3137
2020-11-10 05:30:00,1.3234
2020-11-11 05:30:00,None
2020-11-12 05:30:00,1.3142
2020-11-13 05:30:00,1.3176
2020-11-16 05:30:00,1.3197
2020-11-17 05:30:00,1.3247
2020-11-18 05:30:00,1.3299
2020-11-19 05:30:00,1.3225
2020-11-20 05:30:00,1.3294
2020-11-23 05:30:00,1.33
2020-11-25 05:30:00,1.3378
2020-11-26 05:30:00,None
2020-11-27 05:30:00,None
2020-11-30 05:30:00,1.3338
2020-12-01 05:30:00,1.3392
2020-12-02 05:30:00,1.3348
2020-12-03 05:30:00,1.3496
2020-12-07 05:30:00,1.3353
2020-12-08 05:30:00,1.3358
2020-12-09 05:30:00,1.3392
2020-12-10 05:30:00,1.3293
2020-12-11 05:30:00,1.3197
2020-12-15 05:30:00,1.3434
2020-12-16 05:30:00,1.3503
2020-12-17 05:30:00,1.3609
2020-12-18 05:30:00,1.3497
2020-12-21 05:30:00,1.3354
2020-12-22 05:30:00,1.3349
2020-12-23 05:30:00,1.351
2020-12-25 05:30:00,None
2020-12-28 05:30:00,1.3447
2020-12-29 05:30:00,1.3512
2020-12-30 05:30:00,1.3605
2020-12-31 05:30:00,1.3662
2021-01-01 05:30:00,None
2021-01-04 05:30:00,1.3551
2021-01-05 05:30:00,1.362
2021-01-06 05:30:00,1.3593
2021-01-07 05:30:00,1.3551
2021-01-08 05:30:00,1.3583
2021-01-11 05:30:00,1.3522
2021-01-12 05:30:00,1.3637
2021-01-13 05:30:00,1.3631
2021-01-14 05:30:00,1.369
2021-01-15 05:30:00,1.3599
2021-01-18 05:30:00,None
2021-01-19 05:30:00,1.3627
2021-01-20 05:30:00,None
2021-01-21 05:30:00,1.3721
2021-01-22 05:30:00,1.3685
2021-01-25 05:30:00,1.3668
2021-01-26 05:30:00,1.3729
2021-01-27 05:30:00,1.3688
2021-01-28 05:30:00,1.3727
2021-01-29 05:30:00,1.3723
2021-02-01 05:30:00,1.3672
2021-02-03 05:30:00,1.3652
2021-02-04 05:30:00,1.3665
2021-02-05 05:30:00,1.3714
2021-02-08 05:30:00,1.3738
2021-02-09 05:30:00,1.3796
2021-02-10 05:30:00,1.385
2021-02-11 05:30:00,1.3822
2021-02-15 05:30:00,None
2021-02-16 05:30:00,1.391
2021-02-17 05:30:00,1.3848
2021-02-18 05:30:00,1.3956
2021-02-19 05:30:00,1.4025
2021-02-23 05:30:00,1.4092
2021-02-24 05:30:00,1.4106
2021-02-25 05:30:00,1.4105
2021-02-26 05:30:00,1.3947
2021-03-01 05:30:00,1.3938
2021-03-02 05:30:00,1.3962
2021-03-03 05:30:00,1.3978
2021-03-05 05:30:00,1.3817
2021-03-08 05:30:00,1.381
2021-03-09 05:30:00,1.3884
2021-03-10 05:30:00,1.3899
2021-03-11 05:30:00,1.398
2021-03-12 05:30:00,1.3925
2021-03-15 05:30:00,1.3866
2021-03-16 05:30:00,1.3892
2021-03-17 05:30:00,1.3888
2021-03-18 05:30:00,1.3938
2021-03-19 05:30:00,1.3872
2021-03-22 05:30:00,1.3856
2021-03-23 05:30:00,1.3795
2021-03-24 05:30:00,1.3723
2021-03-25 05:30:00,1.3722
2021-03-26 05:30:00,1.3794
2021-03-29 05:30:00,1.3793
2021-03-30 05:30:00,1.3729
2021-03-31 05:30:00,1.3795
2021-04-01 05:30:00,1.3825
2021-04-02 05:30:00,1.3825
2021-04-05 05:30:00,1.3907
2021-04-06 05:30:00,1.3849
2021-04-07 05:30:00,1.3757
2021-04-08 05:30:00,1.3739
2021-04-09 05:30:00,1.3734
2021-04-12 05:30:00,1.3741
2021-04-14 05:30:00,1.379
2021-04-15 05:30:00,1.3781
2021-04-16 05:30:00,1.3826
2021-04-19 05:30:00,1.3977
2021-04-20 05:30:00,1.3955
2021-04-21 05:30:00,1.3936
2021-04-22 05:30:00,1.3851
2021-04-26 05:30:00,1.389
2021-04-27 05:30:00,1.3908
2021-04-28 05:30:00,1.3917
2021-04-29 05:30:00,1.3956
2021-04-30 05:30:00,1.3838
2021-05-04 05:30:00,1.3873
2021-05-05 05:30:00,1.3913
2021-05-06 05:30:00,1.388
2021-05-07 05:30:00,1.4
2021-05-10 05:30:00,1.4153
2021-05-11 05:30:00,1.4149
2021-05-12 05:30:00,1.4081
2021-05-14 05:30:00,1.4096
2021-05-17 05:30:00,1.4127
2021-05-18 05:30:00,1.4184
2021-05-19 05:30:00,1.4169
2021-05-20 05:30:00,1.4182
2021-05-21 05:30:00,1.4158
2021-05-24 05:30:00,1.4147
2021-05-25 05:30:00,1.4123
2021-05-26 05:30:00,1.4129
2021-05-27 05:30:00,1.4172
2021-05-28 05:30:00,1.4188
2021-05-31 05:30:00,None
2021-06-01 05:30:00,1.4168
2021-06-02 05:30:00,1.4177
2021-06-03 05:30:00,1.4099
2021-06-04 05:30:00,1.4175
2021-06-07 05:30:00,1.4179
2021-06-08 05:30:00,1.4146
2021-06-09 05:30:00,1.4124
2021-06-10 05:30:00,1.4165
2021-06-11 05:30:00,1.4114
2021-06-14 05:30:00,1.4116
2021-06-15 05:30:00,1.4073
2021-06-16 05:30:00,1.411
2021-06-17 05:30:00,1.3916
2021-06-18 05:30:00,1.3817
2021-06-21 05:30:00,1.3915
2021-06-23 05:30:00,1.3977
2021-06-24 05:30:00,1.3907
2021-06-25 05:30:00,1.3899
2021-06-28 05:30:00,1.3895
2021-06-29 05:30:00,1.3845
2021-06-30 05:30:00,1.3806
2021-07-01 05:30:00,1.378
2021-07-05 05:30:00,None
2021-07-06 05:30:00,1.3792
2021-07-07 05:30:00,1.3792
2021-07-08 05:30:00,1.3767
2021-07-09 05:30:00,1.3842
2021-07-13 05:30:00,1.3847
2021-07-14 05:30:00,1.3854
2021-07-15 05:30:00,1.3849
2021-07-16 05:30:00,1.3785
2021-07-19 05:30:00,1.369
2021-07-20 05:30:00,1.3615
2021-07-21 05:30:00,1.3695
2021-07-23 05:30:00,1.3749
2021-07-26 05:30:00,1.3829
2021-07-27 05:30:00,1.3884
2021-07-28 05:30:00,1.3884
2021-07-29 05:30:00,1.3966
2021-07-30 05:30:00,1.3913
2021-08-02 05:30:00,1.3886
2021-08-03 05:30:00,1.3905
2021-08-04 05:30:00,1.3912
2021-08-05 05:30:00,1.3929
2021-08-06 05:30:00,1.3873
2021-08-09 05:30:00,1.3852
2021-08-10 05:30:00,1.384
2021-08-11 05:30:00,1.3866
2021-08-12 05:30:00,1.3833
2021-08-13 05:30:00,1.3857
2021-08-16 05:30:00,1.3849
2021-08-17 05:30:00,1.3739
2021-08-18 05:30:00,1.3749
2021-08-19 05:30:00,1.3673
2021-08-20 05:30:00,1.3625
2021-08-23 05:30:00,1.3717
2021-08-24 05:30:00,1.3716
2021-08-25 05:30:00,1.3723
2021-08-26 05:30:00,1.3712
2021-08-27 05:30:00,1.3769
2021-08-30 05:30:00,1.3758
2021-09-01 05:30:00,1.379
2021-09-02 05:30:00,1.3825
2021-09-03 05:30:00,1.3862
2021-09-06 05:30:00,None
2021-09-07 05:30:00,1.3792
2021-09-08 05:30:00,1.3761
2021-09-09 05:30:00,1.3855
2021-09-13 05:30:00,1.3844
2021-09-14 05:30:00,1.3848
2021-09-15 05:30:00,1.3837
2021-09-16 05:30:00,1.3785
2021-09-17 05:30:00,1.3755
2021-09-21 05:30:00,1.3663
2021-09-22 05:30:00,1.3669
2021-09-23 05:30:00,1.3745
2021-09-24 05:30:00,1.3681
2021-09-27 05:30:00,1.3712
2021-09-28 05:30:00,1.3537
2021-09-29 05:30:00,1.3439
2021-10-01 05:30:00,1.3572
2021-10-04 05:30:00,1.3602
2021-10-05 05:30:00,1.364
2021-10-06 05:30:00,1.3569
2021-10-07 05:30:00,1.3634
2021-10-08 05:30:00,1.363
2021-10-11 05:30:00,None
2021-10-12 05:30:00,1.3605
2021-10-13 05:30:00,1.3645
2021-10-14 05:30:00,1.3684
2021-10-15 05:30:00,1.3756
2021-10-18 05:30:00,1.3726
2021-10-19 05:30:00,1.3807
2021-10-20 05:30:00,1.3821
2021-10-21 05:30:00,1.3812
2021-10-22 05:30:00,1.3741
2021-10-25 05:30:00,1.3773
2021-10-26 05:30:00,1.3772
2021-10-27 05:30:00,1.3739
2021-10-28 05:30:00,1.3804
2021-10-29 05:30:00,1.3686
2021-11-01 05:30:00,1.3679
2021-11-02 05:30:00,1.3612
2021-11-03 05:30:00,1.3659
2021-11-04 05:30:00,1.3494
2021-11-05 05:30:00,1.3491
2021-11-08 05:30:00,1.3563
2021-11-10 05:30:00,1.347
2021-11-11 05:30:00,None
2021-11-12 05:30:00,1.3412
2021-11-15 05:30:00,1.3444
2021-11-16 05:30:00,1.3429
2021-11-17 05:30:00,1.3488
2021-11-18 05:30:00,1.3489
2021-11-22 05:30:00,1.3412
2021-11-23 05:30:00,1.3388
2021-11-24 05:30:00,1.3332
2021-11-25 05:30:00,None
2021-11-26 05:30:00,1.3322
2021-11-30 05:30:00,1.3252
2021-12-01 05:30:00,1.3308
2021-12-02 05:30:00,1.3305
2021-12-03 05:30:00,1.3234
2021-12-06 05:30:00,1.3252
2021-12-07 05:30:00,1.3236
2021-12-08 05:30:00,1.3236
2021-12-10 05:30:00,1.3262
2021-12-13 05:30:00,1.3233
2021-12-14 05:30:00,1.3225
2021-12-15 05:30:00,1.3214
2021-12-16 05:30:00,1.3325
2021-12-17 05:30:00,1.3269
2021-12-20 05:30:00,1.3222
2021-12-21 05:30:00,1.3253
2021-12-22 05:30:00,1.3345
2021-12-23 05:30:00,1.341
2021-12-24 05:30:00,None
2021-12-27 05:30:00,1.3438
2021-12-28 05:30:00,1.3432
2021-12-29 05:30:00,1.3475
2021-12-30 05:30:00,1.35
2021-12-31 05:30:00,None
2022-01-03 05:30:00,1.3469
2022-01-04 05:30:00,1.3544
2022-01-05 05:30:00,1.3573
2022-01-06 05:30:00,1.3539
2022-01-07 05:30:00,1.3583
2022-01-10 05:30:00,1.3567
2022-01-11 05:30:00,1.3622
2022-01-12 05:30:00,1.3698
2022-01-13 05:30:00,1.3724
2022-01-14 05:30:00,1.367
2022-01-17 05:30:00,None
2022-01-19 05:30:00,1.3625
2022-01-20 05:30:00,1.3642
2022-01-21 05:30:00,1.3562
2022-01-24 05:30:00,1.3447
2022-01-25 05:30:00,1.3495
2022-01-26 05:30:00,1.3516
2022-01-27 05:30:00,1.3385
2022-01-31 05:30:00,1.3439
2022-02-01 05:30:00,1.3505
2022-02-02 05:30:00,1.3565
2022-02-03 05:30:00,1.3602
2022-02-04 05:30:00,1.3543
2022-02-08 05:30:00,1.3552
2022-02-09 05:30:00,1.354
2022-02-10 05:30:00,1.3636
2022-02-11 05:30:00,1.3601
2022-02-14 05:30:00,1.3516
2022-02-15 05:30:00,1.3539
2022-02-16 05:30:00,1.3585
2022-02-18 05:30:00,1.3585
2022-02-21 05:30:00,None
2022-02-22 05:30:00,1.3597
2022-02-23 05:30:00,1.3555
2022-02-24 05:30:00,1.336
2022-02-25 05:30:00,1.3407
2022-02-28 05:30:00,1.3419
2022-03-01 05:30:00,1.3318
2022-03-02 05:30:00,1.3365
2022-03-03 05:30:00,1.3326
2022-03-04 05:30:00,1.3214
2022-03-07 05:30:00,1.3115
2022-03-08 05:30:00,1.3101
2022-03-09 05:30:00,1.316
2022-03-10 05:30:00,1.3108
2022-03-11 05:30:00,1.3063
2022-03-14 05:30:00,1.3044
2022-03-15 05:30:00,1.3065
2022-03-16 05:30:00,1.3096
2022-03-17 05:30:00,1.3159
2022-03-18 05:30:00,1.3169
2022-03-21 05:30:00,1.3201
2022-03-22 05:30:00,1.3258
2022-03-23 05:30:00,1.3212
2022-03-24 05:30:00,1.3183
2022-03-25 05:30:00,1.3193
2022-03-28 05:30:00,1.3091
2022-03-30 05:30:00,1.3149
2022-03-31 05:30:00,1.3152
2022-04-01 05:30:00,1.3114
2022-04-04 05:30:00,1.3116
2022-04-05 05:30:00,1.3101
2022-04-06 05:30:00,1.3082
2022-04-07 05:30:00,1.306
2022-04-11 05:30:00,1.3033
2022-04-12 05:30:00,1.3031
2022-04-13 05:30:00,1.3072
2022-04-14 05:30:00,1.3052
2022-04-15 05:30:00,1.3066
2022-04-19 05:30:00,1.3009
2022-04-20 05:30:00,1.3055
2022-04-21 05:30:00,1.3042
2022-04-22 05:30:00,1.2848
2022-04-25 05:30:00,1.2698
2022-04-26 05:30:00,1.2617
2022-04-27 05:30:00,1.2547
2022-04-29 05:30:00,1.2565
2022-05-02 05:30:00,1.2523
2022-05-03 05:30:00,1.251
2022-05-04 05:30:00,1.2487
2022-05-05 05:30:00,1.2334
2022-05-06 05:30:00,1.2344
2022-05-09 05:30:00,1.2335
2022-05-10 05:30:00,1.2313
2022-05-11 05:30:00,1.2317
2022-05-12 05:30:00,1.2198
